,population (millions),NOC,GDP,GDP/capita,GNI,number of 65+,Host
70,9.750149,HUN,140673383870.477,14427.81888466289,153455417266.42,20.097456972196014,0
71,271.85797,IDN,1027661515658.56,3780.141209980197,1030410290694.06,6.709518944763694,0
72,1396.387127,IND,2508593750079.03,1796.4887398156527,2631758361545.3,6.672320103678526,0
73,4.985382,IRL,394216789047.752,79074.54013508935,320580322388.955,14.544341837796985,0
74,42.556984,IRQ,178917080452.31,4204.17669758529,182171806543.624,3.402863323209182,0
75,0.366463,ISL,19416606631.8892,52983.81182244646,21074087065.6242,14.57173029746523,0
76,9.2151,ISR,351802608893.272,38176.75433725863,409618013862.518,11.805688489544334,0
77,59.438851,ITA,1744757062415.98,29353.815443302898,1920487395391.45,23.3720719130321,0
78,2.820436,JAM,13440715454.4634,4765.474364411531,13357924844.1744,7.042563632005831,0
79,10.928721,JOR,41238673866.8076,3773.421781634612,44057889841.1163,3.612481277543823,0
80,126.261,JPN,4363130661935.36,34556.43992947434,5222887209516.97,29.58317849533902,1
81,18.755666,KAZ,205829297738.039,10974.246275127687,156009681697.941,7.844056297440997,0
82,51.98578,KEN,84054150946.0459,1616.8681309782387,98931055473.5145,2.803078072503673,0
83,6.5799,KGZ,7255421236.2525,1102.6643621107462,7524451491.41327,4.267982796091125,0
84,16.39686,KHM,23024448758.5057,1404.1986550172228,24826001039.293,5.272588776143725,0
85,0.126463,KIR,176049976.4036,1392.1065956335058,337548689.009703,3.685663000245131,0
86,0.047642,KNA,902739029.733911,18948.386502118112,870667740.740741,9.193568699886654,0
87,7.319399,LAO,18584865505.7243,2539.1245245305386,17853650705.0794,4.278575331116667,0
88,5.662923,LBN,36656689491.8247,6473.103994496252,30667128253.7961,9.350065328453168,0
89,5.087584,LBR,3115556299.79146,612.3842475704499,2887982500.0,3.375158031788763,0
90,6.653942,LBY,46364963764.8326,6968.044471207084,50591870886.4406,4.805001305992748,0
91,0.179237,LCA,1498670934.61652,8361.392651163096,1488955607.6238,8.916685728951053,0
92,21.919,LKA,93831930692.5154,4280.849066678014,83069588981.4572,10.802979150508692,0
93,2.2541,LSO,2191922057.45494,972.4156237322833,2510186662.69723,4.210948937491682,0
94,2.794885,LTU,48187587206.6015,17241.34882351206,55211445817.2982,20.42005306121719,0
95,0.630419,LUX,65644422263.398,104128.24211103727,51101739694.7861,14.558095488873274,0
96,1.900449,LVA,30077290109.2039,15826.412657852907,34593491383.0398,21.400153332186235,0
97,36.688772,MAR,114765545450.071,3128.0835850834965,120187958049.027,7.151275054940514,0
98,2.63513,MDA,8479779801.96162,3217.973990642443,12253493780.3396,13.355318333440854,0
99,28.225177,MDG,12245161250.7074,433.83824486583023,12666991180.4465,3.2462010778532937,0
100,0.514438,MDV,3608046923.80234,7013.570000276691,3440529461.09887,4.384007402252556,0
101,479.966649,MEA,3338925485261.4,6956.578112704243,3129541743574.77,5.178902544955785,0
102,125.998302,MEX,1152513209905.93,9147.053504783977,1054822088096.21,8.021236667141753,0
103,0.043413,MHL,218847400.0,5041.056826296271,293984300.0,3.911270817497063,0
104,2.072531,MKD,10501957282.7753,5067.213606346683,11894791174.3625,14.58554781569009,0
105,21.22404,MLI,15830713922.9713,745.8859822621565,16726618171.5678,2.495877316476976,0
106,0.515332,MLT,13112282258.9593,25444.339297694107,13636249000.5711,18.841251853174263,0
107,53.423198,MMR,86343026585.1156,1616.2084977600105,76406297227.0824,6.454153119025184,0
108,0.621306,MNE,4048124144.75079,6515.507889430957,4845766267.80627,15.966045716603414,0
109,3.294335,MNG,13528524724.6473,4106.602614684693,12053017629.2894,4.260283183100687,0
110,31.178239,MOZ,17959222232.3238,576.017851178952,13741900071.9787,2.6001244008681828,0
111,4.498604,MRT,7252436596.82511,1612.1527026662295,8299760505.73822,3.3047363137542223,0
112,1.26574,MUS,11846495742.3929,9359.343737570829,11621169647.4182,11.783146617788804,0
113,19.377061,MWI,7537262760.22512,388.9786361422467,12000796592.52,2.7889988063721325,0
114,33.199993,MYS,344422938490.553,10374.187081622365,330553110503.152,7.01171834584423,0
115,2.489098,NAM,10342532537.5003,4155.132717755709,10537701894.2262,4.032665648359365,0
116,24.333639,NER,12645676156.6119,519.6787934846859,13156292048.4515,2.4356118704645864,0
117,208.327405,NGA,500232410862.672,2401.1839002298907,416429693674.608,3.0025334400915713,0
118,6.755895,NIC,12745084492.6969,1886.5131108012927,11760770110.1563,5.058352742308754,0
119,17.4415,NLD,807597591789.77,46303.21886246997,880056390964.983,19.6470601725769,0
120,5.379475,NOR,403552919293.169,75017.15674729765,376701761217.807,17.72992717690853,0
121,29.348627,NPL,29880062111.1893,1018.1076651793387,33830032732.9315,6.039798727211328,0
122,0.012315,NRU,90650121.4347125,7360.951801438287,177302587.478214,2.1193666260657733,0
123,5.0902,NZL,199618427796.858,39216.22486284586,208093295216.895,15.578405563632078,0
124,4.543399,OMN,80246616464.6549,17662.242841681946,70676627828.3485,2.756328466859283,0
125,227.196741,PAK,320278700685.871,1409.6976007497879,294966666773.043,4.174179153388472,0
126,4.294396,PAN,52520633092.8844,12230.039589475307,52265100000.0,8.363760584724837,0
127,33.304756,PER,191469666109.311,5749.018732018665,196348107241.981,8.25253306164441,0
128,112.190977,PHL,358510944430.631,3195.5416916516465,389165758371.92,5.222187342213804,0
